Frame,Time (Seconds),X,Y,Z,X,Y,Z
0,0.000000,1.361871,1.019193,36.503609,1686.567261,5558.079102,1831.117065
1,0.002778,1.361190,1.019338,36.503227,1686.563599,5558.067383,1831.116089
2,0.005556,,,,,,
3,0.008333,,,,,,
4,0.011111,,,,,,
5,0.013889,1.362049,1.018861,36.503681,1686.543823,5558.108887,1831.106934
6,0.016667,1.360779,1.018243,36.502598,1686.536133,5558.096680,1831.112793
7,0.019444,1.361337,1.017984,36.503242,1686.543823,5558.106445,1831.095947
8,0.022222,1.361311,1.018569,36.503853,1686.535156,5558.122070,1831.093994
9,0.025000,1.361739,1.017801,36.504490,1686.546753,5558.131348,1831.084351
10,0.027778,1.360662,1.017564,36.502556,1686.518311,5558.109375,1831.099609
11,0.030556,1.360324,1.018412,36.502785,1686.503174,5558.128418,1831.090088
12,0.033333,1.361087,1.018904,36.504547,1686.518311,5558.132324,1831.095093
13,0.036111,1.361130,1.018952,36.504730,1686.497803,5558.099609,1831.089111
14,0.038889,1.361978,1.017858,36.504246,1686.512085,5558.109375,1831.099243
15,0.041667,,,,,,
16,0.044444,,,,,,
17,0.047222,1.360933,1.018401,36.504719,1686.545654,5558.086914,1831.122803
18,0.050000,1.360561,1.020468,36.504829,1686.537231,5558.045898,1831.137329
19,0.052778,1.360553,1.020409,36.505863,1686.557251,5558.030762,1831.153809
20,0.055556,1.359955,1.020790,36.506233,1686.564941,5558.030273,1831.160156
21,0.058333,1.360063,1.020760,36.506233,1686.561890,5558.034180,1831.162964
22,0.061111,1.361184,1.019789,36.504791,1686.550049,5558.036133,1831.163574
23,0.063889,1.361878,1.017593,36.505234,1686.546875,5558.061035,1831.147583
24,0.066667,1.360204,1.018028,36.505600,1686.536865,5558.049316,1831.136719
25,0.069444,1.360430,1.018079,36.505878,1686.536987,5558.060547,1831.130737
26,0.072222,1.360459,1.017865,36.506126,1686.535645,5558.077637,1831.131470
27,0.075000,1.360148,1.018383,36.506424,1686.532104,5558.083496,1831.122070
28,0.077778,1.360318,1.017831,36.506126,1686.521484,5558.079590,1831.123901
29,0.080556,1.360413,1.018568,36.506435,1686.520020,5558.070312,1831.123169
30,0.083333,1.359988,1.018608,36.507008,1686.535767,5558.080566,1831.123901
31,0.086111,1.361376,1.018275,36.506180,1686.531494,5558.069824,1831.135864
32,0.088889,1.361272,1.018573,36.506813,1686.522339,5558.054199,1831.123657
33,0.091667,1.360947,1.017651,36.507156,1686.542603,5558.038086,1831.145752
34,0.094444,1.359957,1.016622,36.507900,1686.523071,5558.038574,1831.139160
35,0.097222,1.361056,1.017369,36.507629,1686.514893,5558.026367,1831.160278
36,0.100000,1.361348,1.017471,36.507725,1686.526245,5558.020020,1831.134644
37,0.102778,1.361327,1.018404,36.507511,1686.529663,5558.024414,1831.134766
38,0.105556,1.360636,1.018490,36.508316,1686.536621,5558.012207,1831.138794
39,0.108333,1.361698,1.018095,36.508690,1686.549316,5558.052734,1831.118896
40,0.111111,1.360424,1.018159,36.509094,1686.523193,5558.016113,1831.134521
41,0.113889,1.360695,1.017894,36.508804,1686.538574,5558.054688,1831.119751
42,0.116667,1.361638,1.018045,36.509209,1686.543579,5558.063965,1831.112305
43,0.119444,1.361144,1.017840,36.508568,1686.523926,5558.035156,1831.114868
44,0.122222,1.361349,1.017500,36.508781,1686.538696,5558.066406,1831.108154
45,0.125000,1.360421,1.018748,36.509201,1686.524414,5558.043945,1831.118042
46,0.127778,1.359805,1.017781,36.509632,1686.498291,5558.023438,1831.095703
47,0.130556,1.359823,1.018740,36.509918,1686.517822,5558.037109,1831.111816
48,0.133333,1.360267,1.019019,36.509113,1686.523926,5558.022949,1831.116333
49,0.136111,1.359834,1.018665,36.510860,1686.525757,5558.038086,1831.101196
50,0.138889,1.358944,1.016943,36.510658,1686.529419,5558.014160,1831.080933
51,0.141667,1.360807,1.016570,36.510994,1686.523682,5558.034180,1831.084839
52,0.144444,1.360307,1.017231,36.510044,1686.521118,5558.050293,1831.074463
53,0.147222,1.359989,1.017541,36.511150,1686.526733,5558.047363,1831.075439
54,0.150000,1.360499,1.017695,36.510845,1686.514526,5558.057129,1831.077881
55,0.152778,1.360368,1.017064,36.511227,1686.511719,5558.055664,1831.075439
56,0.155556,1.361119,1.016787,36.510166,1686.505981,5558.036621,1831.079102
57,0.158333,1.360335,1.018013,36.510681,1686.522949,5558.063477,1831.082642
58,0.161111,1.360907,1.016761,36.509449,1686.505981,5558.023438,1831.084473
59,0.163889,1.359737,1.016365,36.510807,1686.506470,5558.033691,1831.081177
60,0.166667,1.359411,1.016317,36.511089,1686.520142,5558.036133,1831.095947
61,0.169444,1.359904,1.016703,36.511898,1686.522705,5558.044434,1831.094116
62,0.172222,1.359861,1.016970,36.511909,1686.535156,5558.025879,1831.105469
63,0.175000,1.359871,1.016653,36.511978,1686.538818,5558.032715,1831.111450
64,0.177778,1.358985,1.016872,36.512253,1686.525635,5558.055664,1831.095337
65,0.180556,1.360195,1.016339,36.512032,1686.518921,5558.073730,1831.069702
66,0.183333,1.360413,1.017130,36.511768,1686.510864,5558.062988,1831.070190
67,0.186111,1.360207,1.016767,36.511627,1686.493408,5558.064941,1831.050049
68,0.188889,1.360597,1.015548,36.511520,1686.508789,5558.074219,1831.072876
69,0.191667,1.359728,1.016404,36.510925,1686.492432,5558.065918,1831.082031
70,0.194444,1.360718,1.015413,36.512135,1686.497681,5558.062012,1831.080444
71,0.197222,1.360183,1.015584,36.511799,1686.468262,5558.098145,1831.086670
72,0.200000,1.359519,1.015986,36.511280,1686.467651,5558.050293,1831.084229
73,0.202778,1.360705,1.015411,36.511639,1686.457886,5558.065918,1831.090942
74,0.205556,1.359500,1.015518,36.513092,1686.443237,5558.050293,1831.087280
75,0.208333,,,,,,
76,0.211111,,,,,,
77,0.213889,1.358122,1.016757,36.514473,1686.479248,5558.003906,1831.075562
78,0.216667,1.359713,1.015639,36.513744,1686.491699,5558.013184,1831.092651
79,0.219444,1.359708,1.017252,36.513905,1686.500977,5558.011719,1831.094604
80,0.222222,1.358722,1.017839,36.514442,1686.488770,5558.017090,1831.094727
81,0.225000,1.358555,1.016490,36.515400,1686.489258,5557.993652,1831.109619
82,0.227778,1.358898,1.016215,36.515808,1686.514404,5558.011719,1831.099854
83,0.230556,1.358997,1.015637,36.514050,1686.496582,5558.011719,1831.125610
84,0.233333,1.360264,1.014964,36.515987,1686.511230,5558.046387,1831.105103
85,0.236111,,,,,,
86,0.238889,,,,,,
87,0.241667,1.359901,1.014743,36.516560,1686.518677,5558.022461,1831.108765
88,0.244444,1.358588,1.013678,36.514732,1686.498291,5558.007812,1831.099854
89,0.247222,1.359509,1.014310,36.515533,1686.487915,5558.014648,1831.093018
90,0.250000,1.359299,1.015402,36.516773,1686.493164,5558.022949,1831.078735
91,0.252778,1.359218,1.014936,36.518501,1686.511475,5558.015625,1831.096191
92,0.255556,1.358902,1.015342,36.517307,1686.501465,5557.987305,1831.075439
93,0.258333,1.358235,1.014823,36.517696,1686.502563,5557.997070,1831.082275
94,0.261111,1.358589,1.013638,36.517639,1686.479492,5557.986816,1831.093994
95,0.263889,1.358778,1.013652,36.517166,1686.507568,5557.983398,1831.100220
96,0.266667,1.358292,1.014833,36.518002,1686.515991,5557.998047,1831.098267
97,0.269444,1.357896,1.014544,36.517567,1686.494385,5557.982422,1831.092529
98,0.272222,1.359074,1.014378,36.517517,1686.500488,5557.976562,1831.104492
99,0.275000,1.358204,1.014754,36.518291,1686.516235,5557.983398,1831.098389
100,0.277778,1.358826,1.013581,36.519188,1686.536987,5557.991699,1831.101562
101,0.280556,1.358340,1.014558,36.518814,1686.512085,5558.015625,1831.086792
102,0.283333,1.360104,1.013543,36.518223,1686.497803,5557.990723,1831.074585
103,0.286111,1.359851,1.012718,36.518917,1686.486206,5558.010742,1831.075195
104,0.288889,,,,,,
105,0.291667,1.358860,1.011580,36.520893,1686.473511,5557.973633,1831.097168
106,0.294444,1.357590,1.014588,36.520897,1686.511963,5557.964355,1831.091064
107,0.297222,1.358867,1.014346,36.520031,1686.517456,5557.956543,1831.100952
108,0.300000,1.357936,1.014225,36.520016,1686.532471,5557.979492,1831.098755
109,0.302778,1.358137,1.015108,36.520283,1686.510010,5557.961914,1831.099976
110,0.305556,1.357342,1.014758,36.519810,1686.512329,5557.950195,1831.084595
111,0.308333,1.358143,1.014770,36.520370,1686.502686,5557.961426,1831.064453
112,0.311111,1.358707,1.014158,36.520496,1686.521362,5557.958008,1831.090576
113,0.313889,1.356351,1.013317,36.520912,1686.518188,5557.994141,1831.049805
114,0.316667,1.359480,1.013767,36.520931,1686.511353,5557.994629,1831.047119
115,0.319444,1.358240,1.012024,36.520794,1686.507935,5558.020508,1831.041260
116,0.322222,1.358586,1.012206,36.520702,1686.503052,5558.020020,1831.035522
117,0.325000,,,,,,
118,0.327778,,,,,,
119,0.330556,,,,,,
120,0.333333,1.358259,1.013030,36.521217,1686.492676,5558.000977,1831.032349
121,0.336111,1.358039,1.012122,36.521465,1686.494873,5557.973145,1831.058105
122,0.338889,1.356668,1.013274,36.522350,1686.514771,5557.983887,1831.056274
123,0.341667,1.356245,1.014163,36.522800,1686.525513,5557.969727,1831.066650
124,0.344444,1.356804,1.013797,36.522923,1686.547363,5557.979004,1831.077881
125,0.347222,1.356317,1.013765,36.522842,1686.526733,5557.969727,1831.077881
126,0.350000,1.357488,1.014344,36.522350,1686.511108,5557.988281,1831.063354
127,0.352778,1.356311,1.013685,36.522953,1686.493408,5557.989746,1831.047241
128,0.355556,1.355411,1.012288,36.523205,1686.511230,5557.990234,1831.054199
129,0.358333,1.358533,1.011253,36.523441,1686.497437,5558.014160,1831.042480
130,0.361111,1.358231,1.011154,36.524151,1686.507446,5558.030273,1831.038330
131,0.363889,1.356343,1.012665,36.523636,1686.505981,5558.025391,1831.053711
132,0.366667,1.358054,1.011553,36.524380,1686.496216,5558.030762,1831.052368
133,0.369444,1.358086,1.011227,36.523804,1686.502686,5558.044434,1831.047241
134,0.372222,1.356569,1.012092,36.524078,1686.504883,5558.034180,1831.050049
135,0.375000,1.357238,1.010859,36.524769,1686.509521,5558.033203,1831.040161
136,0.377778,1.357451,1.011443,36.524235,1686.507446,5558.048340,1831.052246
137,0.380556,1.356844,1.011314,36.523510,1686.503662,5558.042969,1831.051758
138,0.383333,1.357144,1.010522,36.524540,1686.513916,5558.047852,1831.055054
139,0.386111,1.357114,1.011624,36.525063,1686.509155,5558.044434,1831.034302
140,0.388889,1.356991,1.011474,36.524010,1686.505249,5558.023926,1831.038086
141,0.391667,1.356989,1.012460,36.525146,1686.495728,5558.058594,1831.046997
142,0.394444,1.355125,1.011137,36.525604,1686.505493,5558.050781,1831.053345
143,0.397222,1.356490,1.011135,36.525105,1686.510986,5558.033691,1831.082642
144,0.400000,1.356921,1.011204,36.525009,1686.503296,5558.040527,1831.083496
145,0.402778,1.356378,1.012037,36.525917,1686.502319,5558.047363,1831.075317
146,0.405556,1.355463,1.012191,36.525806,1686.501099,5558.027344,1831.061035
147,0.408333,1.355821,1.012361,36.526588,1686.500366,5558.044434,1831.062256
148,0.411111,1.357909,1.011181,36.525669,1686.500122,5558.062012,1831.064453
149,0.413889,1.357095,1.011964,36.525318,1686.500488,5558.033203,1831.050049
150,0.416667,1.357610,1.012059,36.526970,1686.509399,5558.072266,1831.074097
151,0.419444,1.356656,1.012340,36.526348,1686.504150,5558.072754,1831.072632
152,0.422222,1.356006,1.011727,36.526405,1686.493652,5558.041992,1831.061646
153,0.425000,1.356848,1.012639,36.526669,1686.508545,5558.052734,1831.072998
154,0.427778,1.355833,1.012349,36.527164,1686.504395,5558.041992,1831.079102
155,0.430556,1.356041,1.011097,36.527184,1686.520874,5558.055664,1831.100220
156,0.433333,1.355620,1.012099,36.527462,1686.515869,5558.062012,1831.093872
157,0.436111,1.355453,1.012105,36.527149,1686.505005,5558.056641,1831.098755
158,0.438889,1.356519,1.012801,36.527813,1686.502563,5558.048828,1831.086548
159,0.441667,1.355495,1.012592,36.527832,1686.512329,5558.040527,1831.063965
160,0.444444,1.356001,1.011092,36.527252,1686.503662,5558.044434,1831.069946
161,0.447222,1.354796,1.011868,36.528885,1686.513672,5558.054199,1831.070923
162,0.450000,1.355636,1.012852,36.528030,1686.507568,5558.058594,1831.061401
163,0.452778,1.355118,1.011961,36.527851,1686.500000,5558.057129,1831.068115
164,0.455556,1.355864,1.011631,36.528767,1686.498779,5558.077148,1831.081177
165,0.458333,1.355172,1.012396,36.528542,1686.494385,5558.064941,1831.063843
166,0.461111,1.356151,1.011929,36.528065,1686.509521,5558.079590,1831.069946
167,0.463889,,,,,,
168,0.466667,1.355910,1.012494,36.528435,1686.523071,5558.093262,1831.079590
169,0.469444,1.357057,1.011786,36.528675,1686.495605,5558.091309,1831.077271
170,0.472222,1.356426,1.010527,36.529255,1686.494263,5558.098633,1831.066284
171,0.475000,1.354116,1.011428,36.528866,1686.504150,5558.080078,1831.059448
172,0.477778,,,,,,
173,0.480556,,,,,,
174,0.483333,,,,,,
175,0.486111,1.355235,1.011094,36.530293,1686.493652,5558.094727,1831.052734
176,0.488889,1.354703,1.012283,36.529610,1686.513550,5558.079590,1831.053833
177,0.491667,1.355182,1.012831,36.529499,1686.506470,5558.071289,1831.052490
178,0.494444,1.354951,1.012690,36.529274,1686.503296,5558.077148,1831.071655
179,0.497222,1.354526,1.012396,36.529602,1686.496582,5558.125488,1831.114380
180,0.500000,1.355306,1.012578,36.529705,1686.493164,5558.097656,1831.091797
181,0.502778,1.355203,1.012245,36.530453,1686.516113,5558.103027,1831.095337
182,0.505556,1.355143,1.011352,36.530415,1686.521118,5558.106934,1831.073853
183,0.508333,1.355746,1.011906,36.531166,1686.501831,5558.128906,1831.046509
184,0.511111,1.354760,1.010137,36.530685,1686.504517,5558.144531,1831.055542
185,0.513889,1.354503,1.009992,36.529682,1686.496582,5558.143555,1831.026367
186,0.516667,1.354354,1.010687,36.529587,1686.501709,5558.154297,1831.034058
187,0.519444,1.355417,1.012479,36.529644,1686.501587,5558.176758,1831.043945
188,0.522222,1.356730,1.012189,36.531513,1686.491089,5558.155762,1831.054810
189,0.525000,,,,,,
190,0.527778,,,,,,
191,0.530556,,,,,,
192,0.533333,1.355821,1.013397,36.533691,1686.442139,5558.185547,1831.136597
193,0.536111,1.354684,1.011734,36.532219,1686.499756,5558.140137,1831.125488
194,0.538889,1.355686,1.011780,36.532627,1686.520630,5558.171387,1831.115845
195,0.541667,1.355653,1.012309,36.531796,1686.486206,5558.188477,1831.093384
196,0.544444,1.355452,1.012106,36.532478,1686.501831,5558.215820,1831.079712
197,0.547222,1.354521,1.010969,36.530247,1686.508057,5558.223633,1831.067383
198,0.550000,1.356197,1.010684,36.531384,1686.495361,5558.260742,1831.057373
199,0.552778,1.356137,1.010059,36.530987,1686.478149,5558.294434,1831.062500
200,0.555556,1.356519,1.010410,36.531490,1686.485352,5558.301270,1831.055420
201,0.558333,1.354386,1.009693,36.530613,1686.495483,5558.271484,1831.060791
202,0.561111,1.355273,1.010359,36.532124,1686.507324,5558.289062,1831.073242
203,0.563889,1.355785,1.010875,36.532932,1686.512695,5558.293457,1831.077881
204,0.566667,1.354781,1.011633,36.532055,1686.511108,5558.252930,1831.077271
205,0.569444,1.355885,1.011453,36.534203,1686.512695,5558.234375,1831.090820
206,0.572222,1.354861,1.011512,36.534039,1686.503784,5558.237793,1831.103271
207,0.575000,1.355419,1.011543,36.533424,1686.501953,5558.235352,1831.122803
208,0.577778,1.354537,1.011902,36.534515,1686.518555,5558.206543,1831.119751
209,0.580556,1.355273,1.011209,36.534557,1686.529785,5558.207520,1831.103027
210,0.583333,1.355670,1.011348,36.534523,1686.522461,5558.208496,1831.111084
211,0.586111,1.354734,1.011398,36.533100,1686.491089,5558.255371,1831.106812
212,0.588889,1.355460,1.011479,36.533356,1686.499146,5558.257324,1831.099243
213,0.591667,1.355232,1.010698,36.534065,1686.502075,5558.288574,1831.103516
214,0.594444,1.355285,1.011264,36.533634,1686.503784,5558.298828,1831.093262
215,0.597222,1.355335,1.011092,36.533485,1686.491455,5558.312012,1831.086548
216,0.600000,1.355084,1.010955,36.534187,1686.503540,5558.307129,1831.078735
217,0.602778,1.355828,1.010734,36.534042,1686.496948,5558.299316,1831.049194
218,0.605556,1.353485,1.010275,36.534821,1686.501953,5558.280273,1831.062744
219,0.608333,1.354524,1.010540,36.535305,1686.513794,5558.280762,1831.076050
220,0.611111,1.355276,1.011261,36.534950,1686.498413,5558.278809,1831.076660
221,0.613889,1.355907,1.010598,36.535839,1686.509277,5558.252930,1831.079468
222,0.616667,1.356559,1.010768,36.536400,1686.530029,5558.258301,1831.100830
223,0.619444,1.356083,1.011171,36.536343,1686.523560,5558.250488,1831.088257
224,0.622222,1.355925,1.011053,36.535122,1686.507202,5558.245117,1831.083496
225,0.625000,1.355347,1.011161,36.535614,1686.507812,5558.270508,1831.093506
226,0.627778,1.354984,1.011176,36.535740,1686.509521,5558.274414,1831.093140
227,0.630556,1.356059,1.011163,36.535698,1686.508545,5558.292969,1831.082642
228,0.633333,1.356010,1.010373,36.536587,1686.523315,5558.278320,1831.083008
229,0.636111,1.355151,1.010615,36.536304,1686.505371,5558.295898,1831.093262
230,0.638889,1.356250,1.011579,36.536217,1686.515137,5558.300781,1831.071777
231,0.641667,1.355136,1.012033,36.535324,1686.496460,5558.290527,1831.064209
232,0.644444,1.355351,1.011845,36.535027,1686.493164,5558.295410,1831.062256
233,0.647222,1.354984,1.010508,36.536003,1686.512573,5558.314941,1831.071167
234,0.650000,1.356463,1.010980,36.535168,1686.501587,5558.315430,1831.066528
235,0.652778,1.356549,1.010460,36.535973,1686.505859,5558.339844,1831.075317
236,0.655556,1.355534,1.010642,36.535976,1686.502930,5558.329102,1831.077637
237,0.658333,1.355849,1.010445,36.536037,1686.497925,5558.352051,1831.069580
238,0.661111,1.356640,1.010987,36.536263,1686.512451,5558.346680,1831.072388
239,0.663889,1.355193,1.010841,36.536724,1686.499268,5558.331543,1831.049683
240,0.666667,1.356498,1.010318,36.536461,1686.507935,5558.348633,1831.079956
241,0.669444,1.356500,1.011380,36.535702,1686.495728,5558.341309,1831.058472
242,0.672222,1.356350,1.010890,36.537121,1686.500000,5558.339355,1831.067871
243,0.675000,1.355547,1.011474,36.536423,1686.490356,5558.343750,1831.056152
244,0.677778,1.356242,1.011540,36.536613,1686.496460,5558.365234,1831.053467
245,0.680556,1.356465,1.009394,36.537384,1686.510376,5558.377441,1831.053467
246,0.683333,1.355235,1.010754,36.536781,1686.489136,5558.347168,1831.044434
247,0.686111,,,,,,
248,0.688889,1.356682,1.010863,36.538391,1686.505371,5558.397949,1831.072266
249,0.691667,1.356898,1.010558,36.537643,1686.510376,5558.399902,1831.077026
250,0.694444,1.356439,1.010775,36.537579,1686.504272,5558.384766,1831.076538
251,0.697222,1.356161,1.010663,36.537277,1686.498169,5558.393555,1831.063965
252,0.700000,1.356796,1.010587,36.537628,1686.503662,5558.405762,1831.067261
253,0.702778,1.356275,1.010966,36.537613,1686.515869,5558.397949,1831.069092
254,0.705556,1.356001,1.010623,36.539024,1686.528564,5558.405273,1831.085815
255,0.708333,,,,,,
256,0.711111,,,,,,
257,0.713889,1.356145,1.010109,36.538403,1686.512329,5558.415527,1831.061646
258,0.716667,1.356020,1.010123,36.539074,1686.511841,5558.421387,1831.062256
259,0.719444,1.357328,1.009063,36.539352,1686.518188,5558.468262,1831.061279
260,0.722222,1.356727,1.010648,36.539406,1686.508301,5558.457031,1831.065918
261,0.725000,1.356485,1.010942,36.539288,1686.503784,5558.451660,1831.067017
262,0.727778,1.356844,1.010750,36.538509,1686.507324,5558.462891,1831.055298
263,0.730556,1.356435,1.009999,36.539417,1686.514526,5558.455566,1831.086914
264,0.733333,1.356840,1.010916,36.539314,1686.502319,5558.453613,1831.074951
265,0.736111,1.357438,1.009997,36.539577,1686.519409,5558.480469,1831.070068
266,0.738889,1.357367,1.010734,36.539902,1686.519897,5558.472656,1831.069824
267,0.741667,1.356598,1.010444,36.539799,1686.505859,5558.459961,1831.077881
268,0.744444,1.356192,1.010703,36.539333,1686.512329,5558.468750,1831.055786
269,0.747222,1.356419,1.010861,36.540100,1686.496948,5558.468262,1831.050171
270,0.750000,1.356823,1.009580,36.540367,1686.520142,5558.484863,1831.067505
271,0.752778,1.357345,1.010677,36.540123,1686.503662,5558.499023,1831.057495
272,0.755556,1.358266,1.009484,36.539688,1686.513428,5558.523926,1831.065308
273,0.758333,1.357570,1.009605,36.539963,1686.511841,5558.516602,1831.081787
274,0.761111,1.358348,1.009544,36.540836,1686.508789,5558.558105,1831.077271
275,0.763889,1.358584,1.009631,36.540924,1686.511963,5558.581543,1831.073120
276,0.766667,1.358378,1.008873,36.540836,1686.523682,5558.546387,1831.079224
277,0.769444,1.357525,1.009539,36.541107,1686.530884,5558.531738,1831.066895
278,0.772222,1.357692,1.009794,36.540340,1686.520142,5558.527832,1831.065552
279,0.775000,1.358215,1.010110,36.541336,1686.513916,5558.537109,1831.063232
280,0.777778,1.358115,1.010622,36.542610,1686.504761,5558.539062,1831.066284
281,0.780556,1.358368,1.009985,36.543304,1686.513428,5558.558105,1831.078247
282,0.783333,1.357787,1.009595,36.543064,1686.525146,5558.543457,1831.058594
283,0.786111,1.357734,1.009734,36.542931,1686.519043,5558.554688,1831.068848
284,0.788889,1.358368,1.009374,36.543896,1686.531982,5558.569336,1831.079590
285,0.791667,1.358772,1.009258,36.543144,1686.519531,5558.549316,1831.084595
286,0.794444,1.359613,1.009248,36.543034,1686.512451,5558.559082,1831.087891
287,0.797222,1.359479,1.009631,36.544083,1686.536255,5558.557617,1831.075195
288,0.800000,1.358117,1.010007,36.543812,1686.516357,5558.543945,1831.079102
289,0.802778,1.359862,1.009136,36.544128,1686.525269,5558.552246,1831.096802
290,0.805556,1.359377,1.009655,36.544201,1686.522827,5558.580566,1831.082764
291,0.808333,1.360465,1.009810,36.544312,1686.532349,5558.581543,1831.083984
292,0.811111,1.359714,1.009694,36.544392,1686.523682,5558.594238,1831.063965
293,0.813889,1.359510,1.009832,36.544476,1686.509888,5558.604004,1831.061401
294,0.816667,1.360630,1.011129,36.545338,1686.522949,5558.603027,1831.055542
295,0.819444,1.360538,1.009682,36.544060,1686.514160,5558.617188,1831.065918
296,0.822222,1.360508,1.009623,36.544792,1686.532227,5558.623535,1831.070557
297,0.825000,1.358995,1.009906,36.544411,1686.523193,5558.598633,1831.073853
298,0.827778,,,,,,
299,0.830556,,,,,,
300,0.833333,1.359270,1.010332,36.544418,1686.502441,5558.633789,1831.066650
301,0.836111,1.359930,1.009266,36.546623,1686.545898,5558.668945,1831.063354
302,0.838889,1.359125,1.009231,36.547421,1686.515137,5558.695312,1831.057251
303,0.841667,1.360255,1.008882,36.546936,1686.531738,5558.673828,1831.053467
304,0.844444,1.360105,1.009998,36.546024,1686.518921,5558.700684,1831.034424
305,0.847222,1.360017,1.009116,36.547092,1686.500854,5558.719238,1831.047119
306,0.850000,1.360312,1.009960,36.546486,1686.509766,5558.702148,1831.043335
307,0.852778,1.360018,1.009809,36.546684,1686.529785,5558.714355,1831.051270
308,0.855556,1.359909,1.010021,36.549118,1686.535156,5558.722656,1831.056030
309,0.858333,1.361761,1.008991,36.547852,1686.547974,5558.711914,1831.070312
310,0.861111,1.361456,1.009773,36.547974,1686.560547,5558.699219,1831.059326
311,0.863889,1.361916,1.009867,36.548294,1686.520386,5558.737793,1831.069946
312,0.866667,1.362569,1.010729,36.547565,1686.527466,5558.718750,1831.054688
313,0.869444,1.362381,1.009552,36.548111,1686.519531,5558.751953,1831.062378
314,0.872222,1.361229,1.010280,36.547726,1686.530884,5558.711426,1831.050903
315,0.875000,1.361058,1.009378,36.548962,1686.538086,5558.777344,1831.067505
316,0.877778,1.361233,1.009267,36.547314,1686.538086,5558.756836,1831.045898
317,0.880556,1.361546,1.010114,36.548183,1686.535156,5558.754883,1831.047485
318,0.883333,,,,,,
319,0.886111,,,,,,
320,0.888889,1.361872,1.009799,36.547909,1686.553589,5558.763672,1831.062500
321,0.891667,1.361576,1.009800,36.550297,1686.539917,5558.766602,1831.077637
322,0.894444,1.361788,1.009585,36.551445,1686.536743,5558.778320,1831.090576
323,0.897222,1.361646,1.009762,36.549007,1686.510986,5558.807617,1831.081055
